epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,18785.6,0.84334,2.39849,1.81896,0.82889,0.63319,0.72823,0.48824,0.78213,1.64261,1.7166,0.0122178,0.0040726,0.0122178,0.0040726,0.0122178,0.0040726,0.0122178,0.0040726
91,18993.5,0.84633,2.42477,1.82542,0.82716,0.63273,0.72936,0.48951,0.78074,1.6409,1.71467,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006
92,19200.8,0.84004,2.38315,1.82005,0.83263,0.62823,0.72884,0.48994,0.77977,1.63841,1.71332,0.0118182,0.0039394,0.0118182,0.0039394,0.0118182,0.0039394,0.0118182,0.0039394
93,19408.2,0.84203,2.40282,1.81785,0.83151,0.63151,0.72946,0.49046,0.77886,1.63553,1.71177,0.0116184,0.0038728,0.0116184,0.0038728,0.0116184,0.0038728,0.0116184,0.0038728
94,19615.3,0.83969,2.39034,1.82858,0.82941,0.63238,0.73017,0.49186,0.77745,1.63308,1.70972,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062
95,19823,0.83534,2.37302,1.79851,0.82863,0.6323,0.73024,0.49228,0.77614,1.62888,1.70839,0.0112188,0.0037396,0.0112188,0.0037396,0.0112188,0.0037396,0.0112188,0.0037396
96,20030.1,0.8336,2.38936,1.81122,0.83196,0.63165,0.73106,0.49266,0.77494,1.62424,1.70659,0.011019,0.003673,0.011019,0.003673,0.011019,0.003673,0.011019,0.003673
97,20237.4,0.82988,2.32397,1.79668,0.83393,0.63237,0.73217,0.49333,0.77381,1.62113,1.70462,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064
98,20444.5,0.8285,2.3313,1.80158,0.83634,0.63098,0.73172,0.49389,0.77238,1.61667,1.70272,0.0106194,0.0035398,0.0106194,0.0035398,0.0106194,0.0035398,0.0106194,0.0035398
99,20651.6,0.82398,2.34012,1.80169,0.8327,0.63468,0.73244,0.49451,0.77151,1.6142,1.70153,0.0104196,0.0034732,0.0104196,0.0034732,0.0104196,0.0034732,0.0104196,0.0034732
100,20858.6,0.82233,2.35844,1.79623,0.8342,0.63673,0.73375,0.49507,0.77046,1.61276,1.69991,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066
101,21066.1,0.8321,2.36073,1.80568,0.83704,0.63678,0.73414,0.49631,0.76952,1.60932,1.69881,0.01002,0.00334,0.01002,0.00334,0.01002,0.00334,0.01002,0.00334
102,21273.3,0.82795,2.3399,1.80704,0.83917,0.63554,0.73446,0.4968,0.76864,1.60598,1.69803,0.0098202,0.0032734,0.0098202,0.0032734,0.0098202,0.0032734,0.0098202,0.0032734
103,21480.4,0.82537,2.35887,1.81017,0.83969,0.63286,0.73469,0.49721,0.76781,1.60335,1.69711,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068
104,21688.1,0.81512,2.3011,1.78879,0.84118,0.63294,0.73517,0.4984,0.76712,1.60119,1.69627,0.0094206,0.0031402,0.0094206,0.0031402,0.0094206,0.0031402,0.0094206,0.0031402
105,21895.2,0.81669,2.26837,1.77934,0.84231,0.63334,0.73624,0.49974,0.7663,1.59922,1.69512,0.0092208,0.0030736,0.0092208,0.0030736,0.0092208,0.0030736,0.0092208,0.0030736
106,22102.4,0.81662,2.27548,1.77977,0.84282,0.63426,0.73593,0.50021,0.76563,1.59676,1.69419,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007
107,22309.7,0.81975,2.29817,1.78811,0.84246,0.63373,0.73563,0.49998,0.76484,1.59272,1.69304,0.0088212,0.0029404,0.0088212,0.0029404,0.0088212,0.0029404,0.0088212,0.0029404
108,22517.3,0.81447,2.25454,1.77699,0.84357,0.63365,0.7363,0.50074,0.76363,1.58865,1.69151,0.0086214,0.0028738,0.0086214,0.0028738,0.0086214,0.0028738,0.0086214,0.0028738
109,22724.9,0.81675,2.25038,1.78213,0.84435,0.63418,0.73692,0.50185,0.76249,1.58538,1.69044,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072
110,22932.1,0.81273,2.25525,1.78302,0.84212,0.63793,0.73766,0.50283,0.76083,1.58116,1.68852,0.0082218,0.0027406,0.0082218,0.0027406,0.0082218,0.0027406,0.0082218,0.0027406
111,23139.5,0.80754,2.27031,1.77606,0.84295,0.63546,0.73761,0.50349,0.76047,1.57999,1.6877,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
112,23346.9,0.80393,2.2155,1.76488,0.83919,0.64035,0.73877,0.50448,0.7596,1.57665,1.68653,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074
113,23554.3,0.80428,2.24382,1.7698,0.84321,0.63983,0.73915,0.50567,0.75865,1.5737,1.68501,0.0076224,0.0025408,0.0076224,0.0025408,0.0076224,0.0025408,0.0076224,0.0025408
114,23761.5,0.80404,2.21863,1.76057,0.83488,0.64608,0.73919,0.50604,0.75748,1.57026,1.68319,0.0074226,0.0024742,0.0074226,0.0024742,0.0074226,0.0024742,0.0074226,0.0024742
115,23968.9,0.799,2.20647,1.7599,0.83695,0.6461,0.7394,0.50624,0.7565,1.56726,1.68187,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076
116,24176.3,0.8025,2.19439,1.76664,0.83925,0.64567,0.73932,0.50632,0.75583,1.56521,1.68096,0.007023,0.002341,0.007023,0.002341,0.007023,0.002341,0.007023,0.002341
117,24383.9,0.79984,2.18442,1.76342,0.83794,0.64712,0.73946,0.50693,0.7553,1.56506,1.68019,0.0068232,0.0022744,0.0068232,0.0022744,0.0068232,0.0022744,0.0068232,0.0022744
